Make,Model,Drivetrain,Max Power,Max Torque,Length,Width,Height,Weight,Aspiration
Peugeot,"L750R HYbrid Vision Gran Turismo, 2017",4WD,693 HP,647.5 ft-lb,198.6 in.,78.7 in.,41.5 in.,1819 lbs.,TC
Peugeot,RCZ GT Line '15,FF,152 HP,177.2 ft-lb,168.9 in.,72.6 in.,53.5 in.,2976 lbs.,TC
Peugeot,RCZ Gr.3,MR,520 HP,405.7 ft-lb,187.0 in.,80.8 in.,52.1 in.,2646 lbs.,TC
Peugeot,RCZ Gr.3 Road Car,MR,468 HP,366.9 ft-lb,187.0 in.,80.8 in.,52.1 in.,3086 lbs.,TC
Peugeot,RCZ Gr.4,FF,345 HP,289.6 ft-lb,169.4 in.,73.5 in.,52.5 in.,2701 lbs.,TC
Peugeot,RCZ Gr.B Rally Car,4WD,516 HP,405.0 ft-lb,191.5 in.,80.8 in.,56.0 in.,2646 lbs.,TC
Peugeot,SUV 2008 Allure '21,FF,129 HP,169.9 ft-lb,169.3 in.,69.7 in.,61.0 in.,2628 lbs.,TC
Plymouth,Superbird '70,FR,425 HP,490.3 ft-lb,220.0 in.,76.4 in.,61.4 in.,3869 lbs.,NA
Plymouth,XNR Ghia Roadster '60,FR,250 HP,199.9 ft-lb,193.0 in.,73.0 in.,43.0 in.,3307 lbs.,NA
Polestar,5 Performance '26,4WD,871 HP,- ft-lb,200.3 in.,77.9 in.,56.1 in.,5518 lbs.,EV
Pontiac,Firebird Trans Am '78,FR,219 HP,321.0 ft-lb,196.8 in.,73.4 in.,49.5 in.,3616 lbs.,NA
Pontiac,GTO 'The Judge' '69,FR,364 HP,444.8 ft-lb,201.5 in.,75.8 in.,52.3 in.,3549 lbs.,NA
Porsche,356 A/1500 GS Carrera '56,RR,97 HP,87.5 ft-lb,155.5 in.,65.7 in.,51.6 in.,1852 lbs.,NA
Porsche,356 A/1500 GS GT Carrera Speedster '56,RR,107 HP,91.1 ft-lb,155.5 in.,65.7 in.,48.0 in.,1852 lbs.,NA
Porsche,911 Carrera RS (901) '73,RR,206 HP,188.0 ft-lb,161.5 in.,65.0 in.,52.0 in.,2370 lbs.,NA
Porsche,911 Carrera RS (964) '92,RR,255 HP,240.1 ft-lb,167.3 in.,65.4 in.,50.0 in.,2712 lbs.,NA
Porsche,911 Carrera RS (993) '95,RR,295 HP,261.8 ft-lb,167.1 in.,68.1 in.,50.0 in.,2800 lbs.,NA
Porsche,911 Carrera RS Clubsport (993) '95,RR,295 HP,261.8 ft-lb,167.1 in.,68.3 in.,50.0 in.,2723 lbs.,NA
Porsche,911 GT1 Strassenversion '97,MR,533 HP,442.6 ft-lb,185.4 in.,76.8 in.,46.2 in.,2646 lbs.,TC
Porsche,911 GT3 (996) '01,RR,354 HP,273.4 ft-lb,174.4 in.,69.5 in.,50.0 in.,2976 lbs.,NA
Porsche,911 GT3 (997) '09,RR,428 HP,317.5 ft-lb,175.8 in.,71.2 in.,50.4 in.,3075 lbs.,NA
Porsche,911 GT3 R (992) '22,RR,557 HP,369.3 ft-lb,181.9 in.,80.7 in.,50.8 in.,2756 lbs.,NA
Porsche,911 GT3 RS (991) '16,RR,491 HP,340.1 ft-lb,178.9 in.,74.8 in.,50.8 in.,3131 lbs.,NA
Porsche,911 GT3 RS (992) '22,RR,517 HP,343.5 ft-lb,180.0 in.,74.8 in.,52.0 in.,3197 lbs.,NA
Porsche,911 RSR (991) '17,MR,509 HP,360.5 ft-lb,179.4 in.,80.6 in.,50.8 in.,2740 lbs.,NA
Porsche,911 Turbo (930) '81,RR,295 HP,303.7 ft-lb,168.9 in.,69.9 in.,50.4 in.,2866 lbs.,TC
Porsche,911 Turbo S (992) '20,4WD,641 HP,590.2 ft-lb,178.5 in.,74.8 in.,51.3 in.,3616 lbs.,TC
Porsche,917 LIVING LEGEND,MR,976 HP,789.8 ft-lb,188.0 in.,80.9 in.,40.4 in.,2690 lbs.,TC
Porsche,917K '70,MR,598 HP,397.8 ft-lb,162.2 in.,78.0 in.,37.0 in.,1764 lbs.,NA
Porsche,918 Spyder '13,4WD,874 HP,943.9 ft-lb,182.9 in.,76.4 in.,46.0 in.,3691 lbs.,NA
Porsche,919 Hybrid '16,4WD,499 HP,382.4 ft-lb,183.1 in.,78.3 in.,45.3 in.,1929 lbs.,TC
Porsche,959 '87,4WD,443 HP,368.8 ft-lb,167.7 in.,72.4 in.,50.4 in.,3197 lbs.,TC
Porsche,962 C '88,MR,690 HP,523.6 ft-lb,187.8 in.,78.3 in.,42.5 in.,1874 lbs.,TC
Porsche,Carrera GT '04,MR,603 HP,435.4 ft-lb,181.6 in.,75.6 in.,45.9 in.,3042 lbs.,NA
Porsche,Carrera GTS (904) '64,MR,179 HP,144.6 ft-lb,161.0 in.,60.6 in.,41.9 in.,1433 lbs.,NA
Porsche,Cayman GT4 '16,MR,379 HP,310.2 ft-lb,174.7 in.,71.5 in.,49.8 in.,2954 lbs.,NA
Porsche,Cayman GT4 Clubsport '16,MR,379 HP,310.2 ft-lb,174.7 in.,78.8 in.,49.8 in.,2866 lbs.,NA
Porsche,Mission X '23,RR,1341 HP,- ft-lb,179.3 in.,76.8 in.,46.5 in.,- lbs.,EV
Porsche,Spyder type 550/1500RS '55,MR,108 HP,90.7 ft-lb,141.7 in.,61.0 in.,40.0 in.,1301 lbs.,NA
Porsche,Taycan Turbo S '19,4WD,751 HP,- ft-lb,195.4 in.,77.4 in.,53.4 in.,5060 lbs.,EV
Porsche,Vision Gran Turismo,4WD,1098 HP,- ft-lb,170.3 in.,74.4 in.,40.2 in.,3064 lbs.,EV
Porsche,Vision Gran Turismo Spyder,4WD,1098 HP,- ft-lb,170.3 in.,74.4 in.,40.2 in.,3064 lbs.,EV
RE Amemiya,FD3S RX-7,FR,366 HP,346.4 ft-lb,169.3 in.,69.3 in.,47.2 in.,2734 lbs.,TC
RUF,CTR3 '07,MR,690 HP,656.8 ft-lb,175.0 in.,76.5 in.,47.2 in.,3086 lbs.,TC
RUF,RGT 4.2 '16,RR,517 HP,356.2 ft-lb,176.8 in.,79.2 in.,51.0 in.,3086 lbs.,NA
Radical,SR3 SL '13,MR,239 HP,250.9 ft-lb,161.4 in.,70.5 in.,44.5 in.,1709 lbs.,TC
Renault,Avantime 3.0 V6 24V '02,FF,204 HP,210.4 ft-lb,182.8 in.,72.2 in.,64.1 in.,3838 lbs.,NA
Renault,Captur S Edition TCe 140 '21,FF,138 HP,191.6 ft-lb,166.4 in.,70.7 in.,62.0 in.,2720 lbs.,TC
Renault,Espace F1 '95,MR,799 HP,520.0 ft-lb,174.4 in.,80.7 in.,69.8 in.,2866 lbs.,NA
Renault,Kangoo 1.4 '01,FF,73 HP,86.0 ft-lb,157.3 in.,65.8 in.,71.3 in.,2381 lbs.,NA
Renault,R4 GTL '85,FF,33 HP,54.2 ft-lb,144.4 in.,58.5 in.,61.0 in.,1587 lbs.,NA
Renault,R5 Turbo '80,MR,159 HP,154.7 ft-lb,144.3 in.,68.9 in.,52.2 in.,2138 lbs.,TC
Renault,R8 Gordini '66,RR,101 HP,86.3 ft-lb,157.0 in.,58.5 in.,51.5 in.,1874 lbs.,NA
Renault Sport,Clio R.S. 220 EDC Trophy '15,FF,216 HP,206.8 ft-lb,161.0 in.,68.2 in.,56.4 in.,2599 lbs.,TC
Renault Sport,Clio R.S. 220 EDC Trophy '16,FF,216 HP,206.8 ft-lb,161.0 in.,68.2 in.,56.5 in.,2654 lbs.,TC
Renault Sport,Clio V6 24V '00,MR,229 HP,221.3 ft-lb,149.7 in.,71.3 in.,53.7 in.,2943 lbs.,NA
Renault Sport,Mégane Gr.4,FF,350 HP,333.5 ft-lb,169.3 in.,72.8 in.,54.8 in.,2425 lbs.,TC
Renault Sport,Mégane R.S. Trophy '11,FF,261 HP,265.5 ft-lb,169.3 in.,72.8 in.,56.5 in.,3058 lbs.,TC
Renault Sport,Mégane R.S. Trophy Safety Car,FF,261 HP,265.5 ft-lb,169.3 in.,72.8 in.,56.5 in.,3058 lbs.,TC
Renault Sport,Mégane Trophy '11,MR,359 HP,287.7 ft-lb,172.2 in.,75.2 in.,48.8 in.,2105 lbs.,NA
Renault Sport,R.S.01 '16,MR,542 HP,465.0 ft-lb,185.2 in.,78.7 in.,48.4 in.,2522 lbs.,TC
Renault Sport,R.S.01 GT3 '16,MR,534 HP,462.1 ft-lb,185.2 in.,78.7 in.,48.4 in.,2690 lbs.,TC
Roadster Shop,Rampage,FR,748 HP,700.1 ft-lb,186.0 in.,81.0 in.,51.6 in.,3100 lbs.,NA
SUBARU,VIZIV GT Vision Gran Turismo,4WD,630 HP,361.6 ft-lb,190.4 in.,76.0 in.,46.7 in.,3042 lbs.,TC
SUZUKI,Vision Gran Turismo,4WD,426 HP,921.9 ft-lb,157.3 in.,71.9 in.,45.1 in.,2138 lbs.,NA
SUZUKI,Vision Gran Turismo (Gr.3 Version),FR,577 HP,361.6 ft-lb,165.4 in.,72.4 in.,45.1 in.,2690 lbs.,TC
Sauber Mercedes,C9 '89,MR,710 HP,597.4 ft-lb,185.0 in.,78.0 in.,41.3 in.,1969 lbs.,TC
Shelby,Cobra 427 '66,FR,484 HP,480.2 ft-lb,156.0 in.,68.0 in.,49.0 in.,2355 lbs.,NA
Shelby,Cobra Daytona Coupe '64,FR,384 HP,340.0 ft-lb,181.5 in.,69.0 in.,56.0 in.,2299 lbs.,NA
Shelby,G.T.350 '65,FR,304 HP,328.9 ft-lb,181.6 in.,68.2 in.,52.2 in.,2800 lbs.,NA
Subaru,BRZ Drift Car '17,FR,1037 HP,875.8 ft-lb,176.9 in.,78.9 in.,50.0 in.,3159 lbs.,TC
Subaru,BRZ GT300 '21,FR,478 HP,490.3 ft-lb,179.7 in.,76.8 in.,45.7 in.,2535 lbs.,TC
Subaru,BRZ S '15,FR,197 HP,151.1 ft-lb,166.9 in.,69.9 in.,51.2 in.,2712 lbs.,NA
Subaru,BRZ S '21,FR,231 HP,184.4 ft-lb,167.9 in.,69.9 in.,51.6 in.,2800 lbs.,NA
Subaru,BRZ STI Sport '18,FR,203 HP,156.2 ft-lb,166.9 in.,69.9 in.,52.0 in.,2756 lbs.,NA
Subaru,Impreza 22B-STi Version '98,4WD,289 HP,280.9 ft-lb,171.9 in.,69.7 in.,54.7 in.,2800 lbs.,TC
Subaru,Impreza Coupe WRX Type R STi Version VI '99,4WD,276 HP,260.3 ft-lb,171.3 in.,66.5 in.,55.3 in.,2778 lbs.,TC
Subaru,Impreza Rally Car '98,4WD,299 HP,347.1 ft-lb,174.4 in.,69.7 in.,55.3 in.,2712 lbs.,TC
Subaru,Impreza Sedan WRX STi '04,4WD,286 HP,303.4 ft-lb,173.8 in.,68.5 in.,56.1 in.,3219 lbs.,TC
Subaru,WRX Gr.3,FR,591 HP,456.9 ft-lb,199.4 in.,80.3 in.,51.9 in.,2822 lbs.,TC
Subaru,WRX Gr.4,4WD,377 HP,354.6 ft-lb,180.9 in.,70.7 in.,56.2 in.,2910 lbs.,TC
Subaru,WRX Gr.B Rally Car,4WD,521 HP,441.7 ft-lb,184.7 in.,80.2 in.,55.5 in.,2822 lbs.,TC
Subaru,WRX Gr.B Road Car,4WD,473 HP,400.2 ft-lb,199.4 in.,80.3 in.,51.9 in.,3142 lbs.,TC
Subaru,WRX STI Isle of Man Time Attack Car '16,4WD,578 HP,405.7 ft-lb,180.9 in.,72.8 in.,57.9 in.,2513 lbs.,TC
Subaru,WRX STI Type S '14,4WD,302 HP,313.3 ft-lb,180.9 in.,70.7 in.,58.1 in.,3285 lbs.,TC
Suzuki,Cappuccino (EA11R) '91,FR,62 HP,62.8 ft-lb,129.7 in.,54.9 in.,46.7 in.,1543 lbs.,TC
Suzuki,Carry KC '12,FR,47 HP,45.6 ft-lb,133.7 in.,58.1 in.,70.5 in.,1565 lbs.,NA
Suzuki,Jimny Sierra JC '18,4WD,100 HP,96.1 ft-lb,139.8 in.,64.8 in.,68.1 in.,2359 lbs.,NA
Suzuki,Jimny XC '18,4WD,63 HP,70.8 ft-lb,133.7 in.,58.1 in.,67.9 in.,2271 lbs.,TC
Suzuki,Swift Sport '07,FF,123 HP,109.2 ft-lb,148.2 in.,66.5 in.,59.4 in.,2337 lbs.,NA
Suzuki,Swift Sport '17,FF,137 HP,169.9 ft-lb,153.1 in.,68.3 in.,59.1 in.,2138 lbs.,TC
Suzuki,Swift Sport KATANA Edition Gr.4,FF,345 HP,325.4 ft-lb,157.1 in.,71.7 in.,57.9 in.,1984 lbs.,TC
Suzuki,V6 Escudo Pikes Peak Special '98,4WD,981 HP,687.1 ft-lb,198.8 in.,74.8 in.,59.4 in.,1764 lbs.,TC
TOYOTA,86 GT '15,FR,197 HP,151.1 ft-lb,166.9 in.,69.9 in.,50.6 in.,2712 lbs.,NA
TOYOTA,"86 GT""Limited"" '16",FR,203 HP,156.2 ft-lb,166.9 in.,69.9 in.,52.0 in.,2734 lbs.,NA
TOYOTA,86 Gr.4,FR,358 HP,273.6 ft-lb,168.4 in.,70.2 in.,48.6 in.,2646 lbs.,NA
TOYOTA,86 Gr.B Rally Car,4WD,516 HP,342.9 ft-lb,170.9 in.,78.3 in.,63.0 in.,2601 lbs.,NA
TOYOTA,GR010 HYBRID '21,4WD,670 HP,495.2 ft-lb,192.9 in.,78.7 in.,45.3 in.,2293 lbs.,TC
TOYOTA,S-FR '15,FR,133 HP,110.6 ft-lb,157.1 in.,66.7 in.,52.0 in.,2315 lbs.,NA
TOYOTA,S-FR Racing Concept '16,FR,349 HP,331.9 ft-lb,161.4 in.,68.3 in.,50.0 in.,2535 lbs.,TC
TVR,Tuscan Speed 6 '00,FR,360 HP,308.8 ft-lb,166.7 in.,71.3 in.,47.2 in.,2425 lbs.,NA
Tesla,Model 3 Performance '23,4WD,531 HP,- ft-lb,184.8 in.,72.8 in.,56.9 in.,4048 lbs.,EV
Tesla,Model S Signature Performance '12,RR,410 HP,- ft-lb,196.0 in.,77.3 in.,56.5 in.,4449 lbs.,EV
Toyota,2000GT '67,FR,153 HP,130.1 ft-lb,164.4 in.,63.0 in.,45.7 in.,2469 lbs.,NA
Toyota,86 GRMN '16,FR,214 HP,162.7 ft-lb,168.8 in.,69.9 in.,51.2 in.,2690 lbs.,NA
Toyota,Alphard Executive Lounge '18,4WD,296 HP,266.0 ft-lb,194.7 in.,72.8 in.,76.8 in.,4872 lbs.,NA
Toyota,Ambulance Himedic '21,4WD,157 HP,179.3 ft-lb,220.5 in.,74.6 in.,98.0 in.,6305 lbs.,NA
Toyota,Aqua S '11,FF,109 HP,81.7 ft-lb,157.3 in.,66.7 in.,56.9 in.,2381 lbs.,NA
Toyota,C-HR S '18,FF,136 HP,104.8 ft-lb,171.7 in.,70.7 in.,61.0 in.,3175 lbs.,NA
Toyota,Celica GT-FOUR (ST205) '94,4WD,250 HP,224.2 ft-lb,174.0 in.,68.9 in.,51.4 in.,3042 lbs.,TC
Toyota,Celica GT-FOUR Rally Car (ST205) '95,4WD,298 HP,368.8 ft-lb,174.2 in.,69.7 in.,51.2 in.,2646 lbs.,TC
Toyota,Corolla Levin 3door 1600GT APEX (AE86) '83,FR,127 HP,109.9 ft-lb,164.6 in.,64.0 in.,52.6 in.,2072 lbs.,NA
Toyota,Crown Athlete G '13,FR,309 HP,277.7 ft-lb,192.7 in.,70.9 in.,57.1 in.,3638 lbs.,NA
Toyota,Crown Athlete G Safety Car,FR,309 HP,277.7 ft-lb,192.7 in.,70.9 in.,57.1 in.,3638 lbs.,NA
Toyota,FT-1,FR,- HP,- ft-lb,- in.,- in.,- in.,- lbs.,TC
Toyota,FT-1 Vision Gran Turismo,FR,- HP,- ft-lb,- in.,- in.,- in.,- lbs.,TC
Toyota,FT-1 Vision Gran Turismo (Gr.3),FR,544 HP,346.9 ft-lb,198.0 in.,81.9 in.,46.5 in.,2822 lbs.,TC
Toyota,GR Corolla MORIZO Edition '22,4WD,299 HP,295.0 ft-lb,173.4 in.,72.9 in.,58.1 in.,3186 lbs.,TC
Toyota,GR Supra RZ '19,FR,335 HP,369.0 ft-lb,172.4 in.,73.4 in.,51.0 in.,3351 lbs.,TC
Toyota,GR Supra RZ '20,FR,382 HP,369.0 ft-lb,172.4 in.,73.4 in.,50.8 in.,3373 lbs.,TC
Toyota,GR Supra Race Car '19,FR,394 HP,433.6 ft-lb,172.4 in.,73.4 in.,51.0 in.,3042 lbs.,TC
Toyota,GR Supra Racing Concept '18,FR,591 HP,514.9 ft-lb,180.1 in.,80.6 in.,48.4 in.,2740 lbs.,TC
Toyota,"GR Yaris 1st Edition RZ ""High performance"" '20",4WD,268 HP,273.1 ft-lb,157.3 in.,71.1 in.,57.3 in.,2844 lbs.,TC
Toyota,GR86 RZ '21,FR,231 HP,184.4 ft-lb,167.9 in.,69.9 in.,51.6 in.,2800 lbs.,NA
Toyota,GT-One (TS020) '99,MR,764 HP,605.3 ft-lb,190.6 in.,78.7 in.,44.3 in.,1984 lbs.,TC
Toyota,Hiace Van DX '16,FR,134 HP,134.5 ft-lb,184.8 in.,66.7 in.,78.0 in.,3704 lbs.,NA
Toyota,Land Cruiser FJ40V '74,4WD,128 HP,216.9 ft-lb,152.4 in.,66.5 in.,76.0 in.,3549 lbs.,NA
Toyota,MR2 GT-S '97,MR,241 HP,224.2 ft-lb,164.2 in.,66.7 in.,48.6 in.,2800 lbs.,TC
Toyota,Prius G '09,FF,146 HP,104.8 ft-lb,175.6 in.,68.7 in.,58.7 in.,2976 lbs.,NA
Toyota,RAV4 Adventure '20,4WD,168 HP,152.6 ft-lb,181.5 in.,73.4 in.,66.5 in.,3593 lbs.,NA
Toyota,Sports 800 '65,FR,43 HP,49.1 ft-lb,142.1 in.,57.7 in.,46.3 in.,1279 lbs.,NA
Toyota,Sprinter Trueno 3door 1600GT APEX (AE86) '83,FR,127 HP,109.9 ft-lb,165.6 in.,64.0 in.,52.6 in.,2072 lbs.,NA
Toyota,Supra 3.0GT Turbo A '88,FR,266 HP,264.0 ft-lb,181.9 in.,68.7 in.,51.2 in.,3373 lbs.,TC
Toyota,Supra GT500 '97,FR,492 HP,474.4 ft-lb,178.0 in.,75.2 in.,47.2 in.,2535 lbs.,TC
Toyota,Supra RZ '97,FR,325 HP,392.6 ft-lb,178.0 in.,71.3 in.,50.2 in.,3329 lbs.,TC
Toyota,TS030 Hybrid '12,MR,529 HP,306.3 ft-lb,183.1 in.,78.7 in.,45.3 in.,1984 lbs.,NA
Toyota,TS050 - Hybrid '16,4WD,493 HP,371.8 ft-lb,183.1 in.,74.8 in.,45.3 in.,1929 lbs.,TC
Toyota,Trueno 3door 1600GT APEX (AE86 Shuichi Shigeno Version),FR,207 HP,126.5 ft-lb,165.6 in.,65.9 in.,50.2 in.,1819 lbs.,NA
Toyota,Tundra TRD Pro '19,4WD,379 HP,400.7 ft-lb,228.9 in.,79.9 in.,76.0 in.,5633 lbs.,NA
Volkswagen,1200 '66,RR,33 HP,60.7 ft-lb,160.2 in.,60.6 in.,59.1 in.,1720 lbs.,NA
Volkswagen,Beetle Gr.3,FR,591 HP,437.0 ft-lb,172.0 in.,77.1 in.,53.0 in.,2646 lbs.,TC
Volkswagen,GTI Roadster Vision Gran Turismo,4WD,551 HP,490.8 ft-lb,162.6 in.,73.6 in.,52.2 in.,2646 lbs.,TC
Volkswagen,GTI Supersport Vision Gran Turismo,4WD,551 HP,490.8 ft-lb,167.3 in.,73.6 in.,52.2 in.,2646 lbs.,TC
Volkswagen,GTI Vision Gran Turismo (Gr.3),MR,551 HP,490.8 ft-lb,172.4 in.,76.0 in.,41.7 in.,2778 lbs.,TC
Volkswagen,Golf I GTI '83,FF,110 HP,110.6 ft-lb,150.2 in.,64.2 in.,54.9 in.,1962 lbs.,NA
Volkswagen,Golf VII GTI '14,FF,216 HP,258.2 ft-lb,168.3 in.,70.9 in.,57.1 in.,3064 lbs.,TC
Volkswagen,ID.R '19,4WD,670 HP,- ft-lb,204.7 in.,92.5 in.,47.2 in.,2271 lbs.,EV
Volkswagen,Polo GTI '14,FF,189 HP,235.7 ft-lb,157.3 in.,66.3 in.,56.9 in.,2804 lbs.,TC
Volkswagen,Sambabus Typ 2 (T1) '62,RR,33 HP,60.7 ft-lb,168.9 in.,68.9 in.,76.4 in.,2414 lbs.,NA
Volkswagen,Scirocco Gr.4,FF,358 HP,292.2 ft-lb,169.3 in.,71.1 in.,53.9 in.,2315 lbs.,TC
Volkswagen,Scirocco R '10,FF,252 HP,243.7 ft-lb,167.5 in.,71.7 in.,55.9 in.,3108 lbs.,TC
Volvo,240 SE Estate '93,FR,109 HP,116.4 ft-lb,188.6 in.,67.3 in.,57.5 in.,2919 lbs.,NA
Volvo,V40 T5 R-Design '13,FF,210 HP,221.3 ft-lb,172.0 in.,70.9 in.,56.7 in.,3395 lbs.,TC
Wicked Fabrication,GT 51,FR,372 HP,384.7 ft-lb,187.0 in.,70.0 in.,52.0 in.,2950 lbs.,NA
Xiaomi,SU7 Ultra '25,4WD,1526 HP,- ft-lb,199.6 in.,77.6 in.,57.7 in.,5203 lbs.,EV
Škoda,Vision Gran Turismo,4WD,1071 HP,- ft-lb,173.5 in.,76.7 in.,37.4 in.,2866 lbs.,EV
